trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.2, 'e': 0.7795799733847004}",20,0,-24.950582570179762,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
43,False,"{'a': 0.2, 'e': 0.774916497961081}",20,0,-22.88330286399395,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
44,False,"{'a': 0.2, 'e': 0.7702809196150792}",25,0,-95.00580135426125,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
45,False,"{'a': 0.2, 'e': 0.7656730714653739}",25,0,-89.04701518004877,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 2}",0
46,False,"{'a': 0.2, 'e': 0.7610927876289343}",25,7,-49.41887028932532,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
47,False,"{'a': 0.2, 'e': 0.7565399032150474}",30,0,-154.13425564072855,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
48,False,"{'a': 0.2, 'e': 0.7520142543193826}",20,9,-7.103889568537047,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.2, 'e': 0.747515678018091}",25,0,-121.09648883821654,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
50,False,"{'a': 0.2, 'e': 0.7430440123619398}",25,0,-36.06707728545315,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
51,False,"{'a': 0.2, 'e': 0.7385990963704826}",20,0,-48.87973958816114,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
52,False,"{'a': 0.2, 'e': 0.7341807700262634}",20,0,-20.40536256260345,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
53,False,"{'a': 0.2, 'e': 0.7297888742690568}",30,0,-97.63776767095052,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
54,False,"{'a': 0.2, 'e': 0.7254232509901412}",20,0,-60.48032167747683,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
55,False,"{'a': 0.2, 'e': 0.721083743026607}",30,0,-143.79585595655493,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
56,False,"{'a': 0.2, 'e': 0.716770194155699}",35,9,-77.62768902274047,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 1}",1
57,False,"{'a': 0.2, 'e': 0.7124824490891918}",20,0,-69.311564707298,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
58,False,"{'a': 0.2, 'e': 0.7082203534678}",20,0,-110.83427705181894,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
59,False,"{'a': 0.2, 'e': 0.7039837538556208}",20,4,-35.107738587932516,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
60,False,"{'a': 0.2, 'e': 0.699772497734611}",30,11,1.1902395219871906,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.2, 'e': 0.6955864334990951}",20,0,-86.23615084686878,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
62,False,"{'a': 0.2, 'e': 0.6914254104503085}",30,15,-12.387469873235506,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.2, 'e': 0.6872892787909722}",25,0,-132.01866775160653,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
64,False,"{'a': 0.2, 'e': 0.6831778896198997}",20,0,-40.83348937444762,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
65,False,"{'a': 0.2, 'e': 0.6790910949266368}",30,0,-18.68739344036591,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
66,False,"{'a': 0.2, 'e': 0.6750287475861332}",20,15,-33.018890979261634,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.2, 'e': 0.6709907013534459}",25,0,-34.003587783646786,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
68,False,"{'a': 0.2, 'e': 0.6669768108584744}",20,2,-7.678689530059507,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.2, 'e': 0.6629869316007274}",30,18,7.899580037321658,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.2, 'e': 0.6590209199441207}",25,0,-74.70024407431056,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
71,False,"{'a': 0.2, 'e': 0.6550786331118063}",20,0,-4.37083480404381,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
72,False,"{'a': 0.2, 'e': 0.6511599291810325}",20,8,-44.7651152066388,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
73,False,"{'a': 0.2, 'e': 0.6472646670780347}",25,0,-19.74889101917051,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
74,False,"{'a': 0.2, 'e': 0.6433927065729562}",30,14,-14.644271224461507,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
75,False,"{'a': 0.2, 'e': 0.6395439082748009}",25,0,-102.14883060479994,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
76,False,"{'a': 0.2, 'e': 0.6357181336264143}",20,0,6.316808627491067,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
77,False,"{'a': 0.2, 'e': 0.6319152448994959}",20,0,-50.06304847872406,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
78,False,"{'a': 0.2, 'e': 0.6281351051896408}",25,0,-20.2073412537832,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
79,False,"{'a': 0.2, 'e': 0.6243775784114112}",20,8,-54.12125164130897,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
80,False,"{'a': 0.2, 'e': 0.6206425292934373}",30,10,-97.45589218585222,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",1
81,False,"{'a': 0.2, 'e': 0.6169298233735474}",20,2,-53.96278483611638,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
82,False,"{'a': 0.2, 'e': 0.6132393269939275}",30,11,-112.16102731170011,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 3}",1
83,False,"{'a': 0.2, 'e': 0.6095709072963093}",25,0,3.459439099525687,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
84,False,"{'a': 0.2, 'e': 0.6059244322171875}",30,0,-101.55234733449288,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
85,False,"{'a': 0.2, 'e': 0.6022997704830654}",25,7,-61.60991510521687,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
